frame,illum_org,darkpct_org,level_org,ear_org,mar_org,illum_mej,darkpct_mej,level_mej,ear_mej,mar_mej,psnr,ssim,fps
0,12.23720238095238,100.0,CRITICA,0.2916130386077377,0.02556652225391392,95.92515756302521,41.318277310924366,BIEN,0.2742719689489189,0.0,8.685988654865174,0.21123228526102486,1.2418552458215517
1,11.710500361627984,100.0,CRITICA,0.2852060047771197,0.034251600174389676,96.15163718850681,42.923597869682425,BIEN,0.31590316689948905,0.004559370558511815,8.476821786548776,0.20022298526754193,1.8514386655039403
2,11.416716417910449,100.0,CRITICA,0.2830071107033384,0.009519924632958997,89.30072968490879,46.71310116086235,BIEN,0.2916035183542025,0.009519924632958997,9.135996000320802,0.21393616888095948,3.3589182558682236
3,11.086438679245283,100.0,CRITICA,0.27655813430656445,0.004901430813958718,92.44479447439353,45.328504043126685,BIEN,0.31864899831974347,0.009940289098625887,8.721177806147896,0.19781711285969042,4.253767491623264
4,10.627634107690751,100.0,CRITICA,0.29660506746857296,0.0,89.3962203715567,48.526585522101215,BIEN,0.2997211183300792,0.004692974128068652,8.93519385242162,0.19491197856431755,5.222338112631164
5,9.765974845853163,100.0,CRITICA,0.28594791686402743,0.014272612797395282,95.18664442372798,42.83891860065748,BIEN,0.2912061061816915,0.004826358252922993,8.160884470525223,0.16318327474342345,6.566603644981068
6,9.651442786069651,100.0,CRITICA,0.2767388378789615,0.009245003270420486,115.51592039800995,31.726368159203982,BIEN,0.27058422312637326,0.014953923405853666,6.471437172110232,0.1251613608642723,7.487686451238523
7,9.463985140377408,100.0,CRITICA,0.28040929708621215,0.004489770487003044,96.9437504109409,42.068840817936746,BIEN,0.2769988198837376,0.03115431214572015,8.079623869789064,0.15290814119948726,7.9505805873060815
8,9.0304767207638,100.0,CRITICA,0.3076031500031197,0.014034482983906684,107.79314806020012,39.34461130308043,BIEN,0.3007928072718844,0.004622501635210243,6.831786128190735,0.12765604549919257,8.609424624344419
9,9.263609546795388,100.0,CRITICA,0.29463011023943586,0.009090721268029803,112.1310002681684,40.23866988468758,BIEN,0.3052706577481422,0.02948697633058545,6.363664528693872,0.12179116097245113,9.415382246560426
10,9.185105459885195,100.0,CRITICA,0.2937742335480853,0.0,79.19388265919103,57.08016286210119,CRITICA,0.30844233955868305,0.01107273064716533,9.605199631830613,0.19266011888849668,10.012191353648378
11,8.982049401646721,100.0,CRITICA,0.3288622277458408,0.005045295657627776,108.85216173872462,40.043001433381114,BIEN,0.3521219428803701,0.0,6.577463074940347,0.1218354485626187,10.840907865411657
12,9.01802818828681,100.0,CRITICA,0.31085587873779,0.004692974128068652,107.8139367816092,38.97954296661193,BIEN,0.31043407598392014,0.00443813690967923,6.721621872883633,0.12250544294963377,11.416566907723668
13,8.580004866687524,100.0,CRITICA,0.28632092714718294,0.006734350297014738,107.559721208329,40.037195397504085,BIEN,0.32029891789481013,0.009657779562320987,6.689398894059394,0.11670977817201095,11.603937568721943
14,8.080562355501156,100.0,CRITICA,0.3070623923806375,0.009388740169814482,100.84083027335781,45.304637562899494,BIEN,0.3142134361097776,0.0,7.025396824008747,0.12076116194168958,11.740507886631594
15,8.009146289146289,100.0,CRITICA,0.3267748886540557,0.009388740169814482,91.81578721578721,47.13856713856714,BIEN,0.3503904595310041,0.014492753623188406,7.9198314235576905,0.1350294786744675,12.53378512168348
16,7.476334390276127,100.0,CRITICA,0.3320353196397611,0.0,92.30408574448408,49.57226846346941,BIEN,0.347244185514327,0.009374805456495168,7.7695287848181565,0.12385061491475484,12.794781659160215
17,7.42274678111588,100.0,CRITICA,0.32677449953479293,0.0045555368272759845,75.83710348833458,56.06021491496983,CRITICA,0.3543869938376134,0.015344353883285715,9.632679367389947,0.15990123184019625,13.030334954778764
18,6.918903671665648,100.0,CRITICA,0.3009903067937461,0.004319906331622535,99.06660084935672,48.49011956811308,BIEN,0.3066674797695754,0.02251529085993122,6.9757670284422115,0.1063487527654055,13.02582346817998
19,6.581439393939394,100.0,CRITICA,0.30889798360666865,0.016384031324106426,96.73144257703082,46.255092946269414,BIEN,0.3342248847011028,0.1313486924360161,7.1478322895111015,0.1062539283032156,13.39671210506338
20,6.41534236781385,100.0,CRITICA,0.3227536757289874,0.011138306875371148,81.25535406714114,56.91560235286472,BIEN,0.3301264779711681,0.0053651898331637535,8.716636517370413,0.1283962395985954,14.132124381671579
21,6.423479087452471,100.0,CRITICA,0.33973374901669523,0.004744507852579767,80.07030942703553,57.13747213845549,BIEN,0.3315397435551981,0.010237044819721725,8.888226564227805,0.1301169874473481,14.087653764771574
22,5.8468102525347945,100.0,CRITICA,0.31426032528287895,0.008711062484160256,85.71141129794067,52.645002833931606,BIEN,0.3121259142120664,0.06522765624152924,8.16900700107871,0.10677578488281446,14.399586135221671
23,5.408986175115207,100.0,CRITICA,0.33799279745455946,0.018375516235438292,68.31780987829374,65.49096065225098,CRITICA,0.38791661834739344,0.10959584392325102,10.113422742888961,0.13488703076441952,14.445415084355592
24,5.080934918166122,100.0,CRITICA,0.3026160727938568,0.008372012427742609,80.07883734535751,58.24403190593741,BIEN,0.38713417351875257,0.009880067593725657,8.471316520791854,0.10317290161522409,14.015674465318623
25,4.802319302319303,100.0,CRITICA,0.32053284183030983,0.016482272547804957,75.44647244647244,63.04101304101304,CRITICA,0.3858396488111711,0.10620214849997359,8.898359000655171,0.1047647748055865,13.66600174665318
26,4.68503056998225,100.0,CRITICA,0.2870904765870339,0.00807029168740265,70.86906843731511,67.12773650647557,CRITICA,0.37903100887206714,0.034576750408435046,9.40019915105564,0.11190447011255289,13.595628138688937
27,4.54320054945055,100.0,CRITICA,0.28219655637448043,0.007766126541640571,74.48107142857143,65.48901098901099,CRITICA,0.3526704407450917,0.10277174719817493,9.00463557048714,0.09861075170495363,13.358966129052169
28,4.617551153501264,100.0,CRITICA,0.28061376916587466,0.0,62.07098991875221,70.60134235482731,CRITICA,0.3344698784410487,0.03531602361508452,10.740285060451548,0.1253727646273155,13.174528364222503
29,4.4204196833967355,100.0,CRITICA,0.2713321625030515,0.0037340216516454274,74.00114533480591,60.37959667852907,CRITICA,0.30717201777993586,0.004798771671657963,8.9801352082061,0.0956802773917666,13.18566926542676
30,4.161604115179033,100.0,CRITICA,0.25551878762086194,0.011803981682406574,74.10129892522559,62.91022472555894,CRITICA,0.2780014180627036,0.004759477076423548,8.775596946992165,0.09386728571254943,12.992881456309313
31,4.340268047517514,100.0,CRITICA,0.29719481871218295,0.008358183633075247,69.0823180018276,64.85379226317393,CRITICA,0.33959058703325035,0.08401389994781014,9.538328920593726,0.10510609435017426,13.172225903808915
32,4.328176030582605,100.0,CRITICA,0.30386030711583806,0.006019456228691097,54.03234351248439,73.33654410547386,CRITICA,0.31301910065933175,0.013106410178285115,11.660003112791081,0.14755217427600517,13.321830384462912
33,4.370134497869566,100.0,CRITICA,0.3051135243645199,0.012736011998347835,50.45855130479613,74.23160320853994,CRITICA,0.34906143582189475,0.02390674322416966,12.159568986345043,0.16447473880428168,13.435166526879527
34,4.4361382419233655,100.0,CRITICA,0.3188778385487292,0.01310243564160837,49.36013022789882,74.87008514901076,CRITICA,0.3421317067450068,0.02344325522003382,12.440158650593265,0.1663563819717598,13.154198387136804
35,4.253901700442581,100.0,CRITICA,0.30693937017832695,0.010958199947505184,43.748489789579935,86.46634055439087,CRITICA,0.3460563019877194,0.009652716505845985,13.53408155854994,0.18319880550823245,13.818363026283023
36,4.144632677639502,100.0,CRITICA,0.28956556066532996,0.013666610481827953,52.248061019670814,76.61661983139302,CRITICA,0.3394677398221352,0.004444049435383145,11.860353520276925,0.14235450073103506,13.969695078487653
37,4.093907925551584,100.0,CRITICA,0.30859963132482143,0.015290248583811871,40.17744669049674,89.97904597559473,CRITICA,0.35221415391591937,0.012993452137881917,14.33815025588358,0.1910954440728846,13.946542401786962
38,4.036940133037694,100.0,CRITICA,0.310326144242304,0.014820193176185088,26.797220990391722,98.91056910569105,CRITICA,0.35618704253740485,0.009446055002927866,18.162323614685207,0.3049590658851841,13.571732594327484
