frame,illum_org,darkpct_org,level_org,ear_org,mar_org,illum_mej,darkpct_mej,level_mej,ear_mej,mar_mej,psnr,ssim,fps
0,12.23720238095238,100.0,CRITICA,0.2916130386077377,0.02556652225391392,98.93855042016807,28.524160385131836,BIEN,0.2916130386077377,0.02556652225391392,8.749549436387356,0.19941233655732835,0.0518872206485779
1,11.882580862533693,100.0,CRITICA,0.2845220201870263,0.03362238198769387,96.4385781671159,31.612196564674377,BIEN,0.2845220201870263,0.03362238198769387,8.915213902352622,0.19754228378281438,1.0476038776425938
2,11.509383423180592,100.0,CRITICA,0.28200409321410047,0.0,93.98915094339623,33.48551094532013,BIEN,0.28200409321410047,0.0,9.062319358307317,0.19526363565503968,3.112090411312189
3,11.131398595481851,100.0,CRITICA,0.2988924720522916,0.004899841933648789,91.4798206278027,35.84059476852417,BIEN,0.2988924720522916,0.004899841933648789,9.24444822416071,0.19631559726260792,5.088987246051768
4,10.533216812317935,100.0,CRITICA,0.29215088429783875,0.004692974128068652,87.35442363712026,41.2251353263855,BIEN,0.29215088429783875,0.004692974128068652,9.558154005014984,0.19215033204815557,6.958324195798209
5,9.758179625888028,100.0,CRITICA,0.2969466935217631,0.014062208184742752,82.59903539073193,46.05846405029297,BIEN,0.2969466935217631,0.014062208184742752,9.969793138166875,0.18837630776402348,8.427316187309083
6,9.614073757278678,100.0,CRITICA,0.2905787246653162,0.0,82.68452478863045,46.3697075843811,BIEN,0.2905787246653162,0.0,10.03180741814679,0.188526332886377,9.791950341626476
7,9.412213990154228,100.0,CRITICA,0.2894385622871166,0.008744720602223408,81.13175670150304,48.61226975917816,BIEN,0.2894385622871166,0.008744720602223408,10.158603337269712,0.18643226863111825,10.972329808413788
8,9.051559999340032,100.0,CRITICA,0.3016310763241713,0.009366474351506377,78.21592502763616,52.50540375709534,CRITICA,0.3016310763241713,0.009366474351506377,10.35906825229256,0.18651145622588414,12.019237674226842
9,9.271520514883347,100.0,CRITICA,0.3088937652569669,0.010958199947505184,78.7067746044516,51.93919539451599,CRITICA,0.3088937652569669,0.010958199947505184,10.22074515455305,0.1858656348877802,12.96143283185745
10,9.230795114236683,100.0,CRITICA,0.3040035749252292,0.0,78.32554931188801,52.76254415512085,CRITICA,0.3040035749252292,0.0,10.23732950248987,0.18559225332814935,13.724905056049742
11,8.947344839030865,100.0,CRITICA,0.3077823044141367,0.004966281670602984,76.5232824427481,53.46996188163757,CRITICA,0.3077823044141367,0.004966281670602984,10.377910981999552,0.18514864578085613,14.397758000846103
12,8.973537675606641,100.0,CRITICA,0.2978457908684453,0.0,76.798177948063,53.481483459472656,CRITICA,0.2978457908684453,0.0,10.388600840524306,0.184298497463787,15.237978504325836
13,8.580004866687524,100.0,CRITICA,0.2892678172810886,0.01183438020771125,74.42666944763097,54.94142770767212,CRITICA,0.2892678172810886,0.01183438020771125,10.647877779279431,0.1826616767747108,15.868375739767195
14,8.068220454236366,100.0,CRITICA,0.29647312563656747,0.0046291831635859055,70.31606147150823,56.97504281997681,CRITICA,0.29647312563656747,0.0046291831635859055,10.9304433220371,0.18339924877722055,16.355995601444423
15,8.10386448224286,100.0,CRITICA,0.3217664716242147,0.009388740169814482,70.90448363421336,56.92024230957031,CRITICA,0.3217664716242147,0.009388740169814482,10.924343189881803,0.18162977115695647,16.905350433552655
16,7.415134058976158,100.0,CRITICA,0.34957603026368617,0.015344353883285715,65.93501852184272,60.93278527259827,CRITICA,0.34957603026368617,0.015344353883285715,11.408148614750122,0.1803736017999539,17.184184852627606
17,7.515431488801054,100.0,CRITICA,0.31951141538173466,0.008988514398976504,66.88596837944664,60.714757442474365,CRITICA,0.31951141538173466,0.008988514398976504,11.347984006585044,0.17991953651746995,17.809699351611226
18,6.9998401738908065,100.0,CRITICA,0.3104280907662367,0.004267895997763199,63.31183672164685,63.110536336898804,CRITICA,0.3104280907662367,0.004267895997763199,11.71874944726224,0.18053382779523108,17.99498760859877
19,6.592500636618284,100.0,CRITICA,0.2898725203998706,0.009187758117719146,60.38660236822002,67.69639849662781,CRITICA,0.2898725203998706,0.009187758117719146,12.061733083566416,0.18120922916387297,18.337691366712917
