frame,illum_org,darkpct_org,level_org,ear_org,mar_org,illum_mej,darkpct_mej,level_mej,ear_mej,mar_mej,psnr,ssim,fps
0,12.23720238095238,100.0,CRITICA,0.2916130386077377,0.02556652225391392,60.3203256302521,85.61274409294128,CRITICA,0.2916130386077377,0.02556652225391392,14.321633867131258,0.3579927816972013,1.8021879055058567
1,11.882580862533693,100.0,CRITICA,0.2845220201870263,0.03362238198769387,59.48195754716981,86.33928298950195,CRITICA,0.2845220201870263,0.03362238198769387,14.3646460260981,0.34920831449965656,2.9816812425527686
2,11.509383423180592,100.0,CRITICA,0.28200409321410047,0.0,58.708035714285714,87.99865245819092,CRITICA,0.28200409321410047,0.0,14.414065626008199,0.3416841580697337,5.242638417267571
3,11.131398595481851,100.0,CRITICA,0.2988924720522916,0.004899841933648789,57.962805651916405,89.61840867996216,CRITICA,0.2988924720522916,0.004899841933648789,14.472598197387786,0.3338869880378792,7.18188796999743
4,10.533216812317935,100.0,CRITICA,0.29215088429783875,0.004692974128068652,56.85076987099459,87.81023621559143,CRITICA,0.29215088429783875,0.004692974128068652,14.53981604476674,0.3202657392855432,8.746823026483362
5,9.758179625888028,100.0,CRITICA,0.2969466935217631,0.014062208184742752,55.481652871016095,90.65209031105042,CRITICA,0.2969466935217631,0.014062208184742752,14.634971855052427,0.3040293710507711,9.95880722466834
6,9.614073757278678,100.0,CRITICA,0.2905787246653162,0.0,55.730384577425404,94.92219686508179,CRITICA,0.2905787246653162,0.0,14.583406663464542,0.30511740482893585,11.353374521989378
7,9.412213990154228,100.0,CRITICA,0.2894385622871166,0.008744720602223408,55.20329391753758,95.53015232086182,CRITICA,0.2894385622871166,0.008744720602223408,14.633985878289998,0.30058145475013776,12.821076832468014
8,9.051559999340032,100.0,CRITICA,0.3016310763241713,0.009366474351506377,54.15844181557195,95.10303735733032,CRITICA,0.3016310763241713,0.009366474351506377,14.743377212827822,0.2926316729298771,13.986882678887028
9,9.271520514883347,100.0,CRITICA,0.3088937652569669,0.010958199947505184,54.16968356127648,93.78184676170349,CRITICA,0.3088937652569669,0.010958199947505184,14.734772640417273,0.29297232099215725,15.168526495477467
10,9.230795114236683,100.0,CRITICA,0.3040035749252292,0.0,53.99390962010835,94.11824345588684,CRITICA,0.3040035749252292,0.0,14.753131277905602,0.29126336843409145,16.22973791791851
11,8.947344839030865,100.0,CRITICA,0.3077823044141367,0.004966281670602984,53.64761035512778,94.58845257759094,CRITICA,0.3077823044141367,0.004966281670602984,14.757509368565895,0.28426935418271687,16.819615035946594
12,8.973537675606641,100.0,CRITICA,0.2978457908684453,0.0,53.758569604086844,96.49382829666138,CRITICA,0.2978457908684453,0.0,14.75056333085833,0.28614070917283985,17.75262148666501
13,8.580004866687524,100.0,CRITICA,0.2892678172810886,0.01183438020771125,53.13477248235826,96.65067791938782,CRITICA,0.2892678172810886,0.01183438020771125,14.790965403340234,0.2778800694722135,18.504901159335827
14,8.068220454236366,100.0,CRITICA,0.29647312563656747,0.0046291831635859055,51.47851217190262,96.7921257019043,CRITICA,0.29647312563656747,0.0046291831635859055,14.93827352069371,0.2665149863460833,19.08882703485861
15,8.10386448224286,100.0,CRITICA,0.3217664716242147,0.009388740169814482,51.755295836376916,96.96685075759888,CRITICA,0.3217664716242147,0.009388740169814482,14.912934136126989,0.26876854431781205,19.64413797451945
16,7.415134058976158,100.0,CRITICA,0.34957603026368617,0.015344353883285715,50.025636841332265,97.76595830917358,CRITICA,0.34957603026368617,0.015344353883285715,15.062278219248068,0.2524428608473095,19.950376739351636
17,7.515431488801054,100.0,CRITICA,0.31951141538173466,0.008988514398976504,50.531587615283264,98.43050241470337,CRITICA,0.31951141538173466,0.008988514398976504,15.010116996096478,0.2553783268497796,20.346005086106718
18,6.9998401738908065,100.0,CRITICA,0.3104280907662367,0.004267895997763199,49.343658099987216,98.28187227249146,CRITICA,0.3104280907662367,0.004267895997763199,15.164335685749863,0.2440697848248977,20.4160596729112
19,6.592500636618284,100.0,CRITICA,0.2898725203998706,0.009187758117719146,48.388146167557935,98.26202988624573,CRITICA,0.2898725203998706,0.009187758117719146,15.24969957367745,0.23561992423801525,20.64154702050376
20,6.448783694937541,100.0,CRITICA,0.32415257203728587,0.009489015705159533,48.038823142669294,98.97435903549194,CRITICA,0.32415257203728587,0.009489015705159533,15.252935504968999,0.2364171966022397,21.031708711560263
21,6.501036789297659,100.0,CRITICA,0.3420813552929215,0.004744507852579767,48.40607023411371,99.04347658157349,CRITICA,0.3420813552929215,0.004744507852579767,15.20769880128336,0.23818733238553189,21.557717487991823
22,5.930978874375101,100.0,CRITICA,0.30869133072810606,0.008956820248340984,47.026915013707466,99.56942200660706,CRITICA,0.30869133072810606,0.008956820248340984,15.376065861542433,0.22428139657744295,21.85296341632924
23,5.51203007518797,100.0,CRITICA,0.32659723466688084,0.008943109381339036,45.873039742212676,99.96317028999329,CRITICA,0.32659723466688084,0.008943109381339036,15.505480820179308,0.2131847900816994,21.905345265050563
24,5.132396708683474,100.0,CRITICA,0.3080791920447645,0.010105912973706152,44.629610177404295,99.95331168174744,CRITICA,0.3080791920447645,0.010105912973706152,15.627958026843334,0.20587586443303588,21.182192034113598
25,4.918748059718341,100.0,CRITICA,0.2962426453915137,0.013922466859943822,43.78594812745181,99.65004324913025,CRITICA,0.2962426453915137,0.013922466859943822,15.784725192412894,0.2002309958734835,20.54747965172166
26,4.826301218161683,100.0,CRITICA,0.29344493189223625,0.004179091816537623,43.85604928017719,99.77574944496155,CRITICA,0.29344493189223625,0.004179091816537623,15.742892693517707,0.19691333956538834,19.99416141370572
27,4.534668062942652,100.0,CRITICA,0.2833260555051477,0.008875485248529928,42.95778102350704,99.99035596847534,CRITICA,0.2833260555051477,0.008875485248529928,15.87479658073244,0.1903957464032374,19.43169206736067
28,4.72004910676488,100.0,CRITICA,0.2792921151763281,0.003928371006591931,43.57755482177631,99.9915361404419,CRITICA,0.2792921151763281,0.003928371006591931,15.785966538493346,0.19374087476186788,18.971956225906858
29,4.481972561485695,100.0,CRITICA,0.2830101204252348,0.011742784807525521,42.55475154759913,100.0,CRITICA,0.2830101204252348,0.011742784807525521,15.929364994844432,0.1885164214668333,18.55383119084619
30,4.13550880206097,100.0,CRITICA,0.2634114191400454,0.015532253083281142,40.9669099756691,100.0,CRITICA,0.2634114191400454,0.015532253083281142,16.106311169251132,0.1851487029652427,18.1691532157007
31,4.235484532458401,100.0,CRITICA,0.28773853600671273,0.003997538274401069,41.37223166158894,99.98974800109863,CRITICA,0.28773853600671273,0.003997538274401069,16.085184506687128,0.18467370541881198,17.70784106796428
32,4.2518486937857425,100.0,CRITICA,0.29322238132910017,0.012285902336679025,41.4169741697417,99.97206926345825,CRITICA,0.29322238132910017,0.012285902336679025,16.047422678200295,0.1868205003494583,17.388317985834735
33,4.383834231600743,100.0,CRITICA,0.2960118413628047,0.0098869306824006,41.83991047775646,99.96954798698425,CRITICA,0.2960118413628047,0.0098869306824006,15.912268307457493,0.1939745954685517,17.79607410704409
